timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668940080584,391,HTTP Request,200,OK,Thread Group 1-1,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,391,0,37
1668940080689,339,HTTP Request,200,OK,Thread Group 1-2,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,339,0,7
1668940080799,338,HTTP Request,200,OK,Thread Group 1-3,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,338,0,8
1668940080893,332,HTTP Request,200,OK,Thread Group 1-4,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,332,0,6
1668940081002,354,HTTP Request,200,OK,Thread Group 1-5,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,354,0,5
1668940081088,336,HTTP Request,200,OK,Thread Group 1-6,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,336,0,6
1668940081190,355,HTTP Request,200,OK,Thread Group 1-7,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,355,0,4
1668940081288,349,HTTP Request,200,OK,Thread Group 1-8,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,349,0,5
1668940081390,350,HTTP Request,200,OK,Thread Group 1-9,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,350,0,5
1668940081489,348,HTTP Request,200,OK,Thread Group 1-10,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,348,0,5
1668940081590,352,HTTP Request,200,OK,Thread Group 1-11,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,352,0,6
1668940081690,356,HTTP Request,200,OK,Thread Group 1-12,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,355,0,5
1668940081788,340,HTTP Request,200,OK,Thread Group 1-13,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,340,0,5
1668940081888,338,HTTP Request,200,OK,Thread Group 1-14,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,338,0,7
1668940081989,420,HTTP Request,200,OK,Thread Group 1-15,text,true,,269,306,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,420,0,6
1668940082085,336,HTTP Request,200,OK,Thread Group 1-16,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,336,0,5
1668940082187,349,HTTP Request,200,OK,Thread Group 1-17,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,349,0,5
1668940082290,350,HTTP Request,200,OK,Thread Group 1-18,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,350,0,4
1668940082390,349,HTTP Request,200,OK,Thread Group 1-19,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,349,0,4
1668940082491,364,HTTP Request,200,OK,Thread Group 1-20,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,364,0,3
1668940082591,356,HTTP Request,200,OK,Thread Group 1-21,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,356,0,4
1668940082692,336,HTTP Request,200,OK,Thread Group 1-22,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,336,0,7
1668940082793,326,HTTP Request,200,OK,Thread Group 1-23,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,326,0,4
1668940082893,361,HTTP Request,200,OK,Thread Group 1-24,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,361,0,3
1668940082993,355,HTTP Request,200,OK,Thread Group 1-25,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,355,0,5
1668940083092,338,HTTP Request,200,OK,Thread Group 1-26,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,338,0,5
1668940083192,354,HTTP Request,200,OK,Thread Group 1-27,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,354,0,3
1668940083293,352,HTTP Request,200,OK,Thread Group 1-28,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,352,0,6
1668940083394,348,HTTP Request,200,OK,Thread Group 1-29,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,348,0,3
1668940083487,357,HTTP Request,200,OK,Thread Group 1-30,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,357,0,5
1668940083594,335,HTTP Request,200,OK,Thread Group 1-31,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,335,0,5
1668940083694,326,HTTP Request,200,OK,Thread Group 1-32,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,326,0,4
1668940083793,348,HTTP Request,200,OK,Thread Group 1-33,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,348,0,4
1668940083894,329,HTTP Request,200,OK,Thread Group 1-34,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,329,0,6
1668940083994,326,HTTP Request,200,OK,Thread Group 1-35,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,326,0,4
1668940084086,360,HTTP Request,200,OK,Thread Group 1-36,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,360,0,7
1668940084195,445,HTTP Request,200,OK,Thread Group 1-37,text,true,,269,306,5,5,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,445,0,4
1668940084293,364,HTTP Request,200,OK,Thread Group 1-38,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,364,0,4
1668940084395,350,HTTP Request,200,OK,Thread Group 1-39,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,350,0,4
1668940084494,358,HTTP Request,200,OK,Thread Group 1-40,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,358,0,5
1668940084595,337,HTTP Request,200,OK,Thread Group 1-41,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,337,0,4
1668940084695,355,HTTP Request,200,OK,Thread Group 1-42,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,355,0,5
1668940084794,368,HTTP Request,200,OK,Thread Group 1-43,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,368,0,5
1668940084893,328,HTTP Request,200,OK,Thread Group 1-44,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,328,0,4
1668940084985,347,HTTP Request,200,OK,Thread Group 1-45,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,347,0,4
1668940085093,327,HTTP Request,200,OK,Thread Group 1-46,text,true,,269,306,4,4,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/api/addToDo,327,0,3
