elapsed,label,responseCode,threadName,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime,Connect
563,HTTP Request,200,Thread Group 1-2,223,286,13,13,563,1,0,0,348
622,HTTP Request,200,Thread Group 1-1,223,286,12,12,622,1,0,0,399
562,HTTP Request,200,Thread Group 1-3,223,286,12,12,562,1,0,0,343
553,HTTP Request,200,Thread Group 1-4,223,286,12,12,553,1,0,0,337
559,HTTP Request,200,Thread Group 1-5,223,286,12,12,559,1,0,0,346
567,HTTP Request,200,Thread Group 1-6,223,286,12,12,567,1,0,0,340
611,HTTP Request,200,Thread Group 1-7,223,286,13,13,611,1,0,0,341
615,HTTP Request,200,Thread Group 1-8,223,286,13,13,615,1,0,0,344
614,HTTP Request,200,Thread Group 1-9,223,286,13,13,614,1,0,0,339
599,HTTP Request,200,Thread Group 1-10,223,286,12,12,599,1,0,0,338
620,HTTP Request,200,Thread Group 1-11,223,286,13,13,620,1,0,0,401
623,HTTP Request,200,Thread Group 1-12,223,286,13,13,623,1,0,0,398
655,HTTP Request,200,Thread Group 1-13,223,286,14,14,655,1,0,0,427
638,HTTP Request,200,Thread Group 1-14,223,286,13,13,638,1,0,0,414
608,HTTP Request,200,Thread Group 1-15,223,286,13,13,608,1,0,0,403
613,HTTP Request,200,Thread Group 1-16,223,286,13,13,613,1,0,0,410
581,HTTP Request,200,Thread Group 1-17,223,286,12,12,581,1,0,0,374
606,HTTP Request,200,Thread Group 1-18,223,286,12,12,606,1,0,0,403
609,HTTP Request,200,Thread Group 1-19,223,286,13,13,609,1,0,0,405
614,HTTP Request,200,Thread Group 1-20,223,286,13,13,614,1,0,0,409
578,HTTP Request,200,Thread Group 1-21,223,286,12,12,578,1,0,0,376
546,HTTP Request,200,Thread Group 1-22,223,286,11,11,546,1,0,0,345
546,HTTP Request,200,Thread Group 1-23,223,286,11,11,546,1,0,0,343
541,HTTP Request,200,Thread Group 1-24,223,286,11,11,541,1,0,0,341
563,HTTP Request,200,Thread Group 1-25,223,286,12,12,563,1,0,0,357
543,HTTP Request,200,Thread Group 1-26,223,286,11,11,543,1,0,0,340
549,HTTP Request,200,Thread Group 1-27,223,286,11,11,549,1,0,0,341
569,HTTP Request,200,Thread Group 1-28,223,286,12,12,569,1,0,0,345
629,HTTP Request,200,Thread Group 1-29,223,286,13,13,629,1,0,0,338
610,HTTP Request,200,Thread Group 1-30,223,286,13,13,610,1,0,0,351
643,HTTP Request,200,Thread Group 1-31,223,286,13,13,643,1,0,0,344
638,HTTP Request,200,Thread Group 1-32,223,286,13,13,638,1,0,0,363
672,HTTP Request,200,Thread Group 1-34,223,286,15,15,672,1,0,0,411
722,HTTP Request,200,Thread Group 1-33,223,286,15,15,722,1,0,0,457
726,HTTP Request,200,Thread Group 1-35,223,286,15,15,726,1,0,0,510
852,HTTP Request,200,Thread Group 1-36,223,286,18,18,852,1,0,0,495
819,HTTP Request,200,Thread Group 1-37,223,286,17,17,819,1,0,0,452
772,HTTP Request,200,Thread Group 1-38,223,286,17,17,772,1,0,0,485
741,HTTP Request,200,Thread Group 1-41,223,286,17,17,741,1,0,0,532
698,HTTP Request,200,Thread Group 1-42,223,286,17,17,698,1,0,0,481
848,HTTP Request,200,Thread Group 1-39,223,286,17,17,848,1,0,0,631
798,HTTP Request,200,Thread Group 1-40,223,286,17,17,798,1,0,0,581
648,HTTP Request,200,Thread Group 1-43,223,286,17,17,648,1,0,0,438
671,HTTP Request,200,Thread Group 1-44,223,286,14,14,671,1,0,0,464
769,HTTP Request,200,Thread Group 1-45,223,286,16,16,769,1,0,0,562
638,HTTP Request,200,Thread Group 1-48,223,286,15,15,638,1,0,0,435
739,HTTP Request,200,Thread Group 1-46,223,286,14,14,739,1,0,0,535
592,HTTP Request,200,Thread Group 1-49,223,286,13,13,592,1,0,0,387
696,HTTP Request,200,Thread Group 1-47,223,286,12,12,696,1,0,0,486
609,HTTP Request,200,Thread Group 1-50,223,286,13,13,609,1,0,0,381
579,HTTP Request,200,Thread Group 1-51,223,286,12,12,579,1,0,0,376
550,HTTP Request,200,Thread Group 1-52,223,286,12,12,550,1,0,0,345
547,HTTP Request,200,Thread Group 1-53,223,286,11,11,547,1,0,0,343
577,HTTP Request,200,Thread Group 1-54,223,286,12,12,577,1,0,0,368
545,HTTP Request,200,Thread Group 1-55,223,286,11,11,545,1,0,0,340
578,HTTP Request,200,Thread Group 1-56,223,286,12,12,578,1,0,0,367
556,HTTP Request,200,Thread Group 1-57,223,286,12,12,556,1,0,0,343
542,HTTP Request,200,Thread Group 1-58,223,286,11,11,542,1,0,0,338
546,HTTP Request,200,Thread Group 1-59,223,286,11,11,546,1,0,0,342
559,HTTP Request,200,Thread Group 1-60,223,286,12,12,559,1,0,0,354
542,HTTP Request,200,Thread Group 1-61,223,286,11,11,542,1,0,0,341
551,HTTP Request,200,Thread Group 1-62,223,286,12,12,551,1,0,0,345
566,HTTP Request,200,Thread Group 1-63,223,286,12,12,566,1,0,0,345
540,HTTP Request,200,Thread Group 1-64,223,286,11,11,540,1,0,0,337
540,HTTP Request,200,Thread Group 1-65,223,286,11,11,540,1,0,0,336
552,HTTP Request,200,Thread Group 1-66,223,286,12,12,552,1,0,0,345
552,HTTP Request,200,Thread Group 1-67,223,286,12,12,552,1,0,0,347
553,HTTP Request,200,Thread Group 1-68,223,286,12,12,553,1,0,0,349
595,HTTP Request,200,Thread Group 1-70,223,286,13,13,595,1,0,0,343
603,HTTP Request,200,Thread Group 1-71,223,286,14,14,603,1,0,0,343
555,HTTP Request,200,Thread Group 1-72,223,286,13,13,555,1,0,0,347
542,HTTP Request,200,Thread Group 1-73,223,286,12,12,542,1,0,0,339
